Age,Percent
0,0.08
1,0.08
2,0.42
3,0.77
4,0.93
5,0.98
6,0.99
7,0.99
8,0.99
9,0.99
10,0.99
11,0.99
12,0.99
13,0.99
14,0.99
15,0.94
16,0.9
17,0.87
18,0.72
19,0.52
20,0.43
21,0.39
22,0.35
23,0.31
24,0.28
25,0.24
26,0.2
27,0.18
28,0.15
29,0.12
30,0.1
31,0.003325486679371
32,0.003325486679371
33,0.003325486679371
34,0.003325486679371
35,0.003325486679371
36,0.003325486679371
37,0.003325486679371
38,0.003325486679371
39,0.003325486679371
40,0.003325486679371
41,0.003325486679371
42,0.003325486679371
43,0.003325486679371
44,0.003325486679371
45,0.000636622549841
46,0.000636622549841
47,0.000636622549841
48,0.000636622549841
49,0.000636622549841
50,0.000636622549841
51,0.000636622549841
52,0.000636622549841
53,0.000636622549841
54,0.000636622549841
55,0.000636622549841
56,0.000636622549841
57,0.000636622549841
58,0.000636622549841
59,0.000636622549841
60,5.92469709986077E-05
61,5.92469709986077E-05
62,5.92469709986077E-05
63,5.92469709986077E-05
64,5.92469709986077E-05
65,5.92469709986077E-05
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
